is_extra,ser_num,borough,sex,race,age_bucket,was_frisked,contraband_found,gun_found,weapon_found,arrest_made,summons_issued,physical_force_used,reason_for_stop_2,was_frisked,reason_for_frisk
0,1540,Brooklyn,Male,Black,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Fits a relevant description,Frisked,Inappropriate attire for season
0,1102,Brooklyn,Male,Black,16 to 19,Frisked,No contraband found,No gun found,No weapon found,Arrest made,No summons issued,Force used,Furtive movements,Frisked,Inappropriate attire for season
0,2476,Manhattan,Male,White Hispanic,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Furtive movements,Frisked,Inappropriate attire for season
0,2659,Bronx,Male,Black,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Furtive movements,Frisked,Inappropriate attire for season
0,705,Bronx,Male,Black Hispanic,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force used,Wearing clothes commonly used in a crime,Frisked,Inappropriate attire for season
0,2761,Manhattan,Male,Black Hispanic,16 to 19,Frisked,No contraband found,No gun found,No weapon found,Arrest made,No summons issued,Force used,Actions of engaging in a violent crime,Frisked,Other suspicion of weapons
0,1988,Brooklyn,Male,White Hispanic,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Fits a relevant description,Frisked,Other suspicion of weapons
0,827,Manhattan,Male,Black,16 to 19,Frisked,No contraband found,No gun found,No weapon found,Arrest made,No summons issued,Force used,Fits a relevant description,Frisked,Other suspicion of weapons
0,8127,Bronx,Male,Black,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Furtive movements,Frisked,Other suspicion of weapons
0,2087,Manhattan,Male,Other,16 to 19,Frisked,No contraband found,No gun found,No weapon found,Arrest made,No summons issued,Force not used,Other,Frisked,Other suspicion of weapons
0,1952,Brooklyn,Male,Black,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Other,Frisked,Refuse to comply with officer directions
