is_extra,ser_num,datestop,timestop,borough,sex,race,age,age_bucket,was_frisked,contrabn,contraband_found,pistol,riflshot,asltweap,knifcuti,machgun,othrweap,gun_found,weapon_found,arrest_made,sumissue,summons_issued,perobs,perstop,pf_hands,pf_wall,pf_grnd,pf_drwep,pf_ptwep,pf_baton,pf_hcuff,pf_pepsp,pf_other,physical_force_used,cs_objcs,cs_descr,cs_casng,cs_lkout,cs_cloth,cs_drgtr,cs_furtv,cs_vcrim,cs_bulge,cs_other,reason_for_stop_2,rf_vcrim,rf_othsw,rf_attir,rf_vcact,rf_rfcmp,rf_verbl,rf_knowl,rf_furt,rf_bulg,was_frisked,reason_for_frisk,xcoord,ycoord
0,3417,2072012,1245,Bronx,Male,White Hispanic,19,16 to 19,Frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,Arrest made,0,No summons issued,1,2,0,0,0,0,0,0,0,0,0,Force not used,0,0,0,0,0,1,1,1,0,0,Actions indicative of a drug transaction,0,0,0,1,0,0,0,1,0,Frisked,Actions of engaging in a violent crime,1005827,236235
0,864,1242012,1820,Queens,Male,Black,17,16 to 19,Frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,3,5,0,0,0,0,0,0,0,0,0,Force not used,0,0,0,0,0,0,0,1,0,0,Actions of engaging in a violent crime,0,0,0,1,0,0,0,0,0,Frisked,Actions of engaging in a violent crime,1045218,187534
0,3954,3242012,2038,Brooklyn,Male,Black,19,16 to 19,Frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,2,5,0,0,0,0,0,0,0,0,0,Force not used,0,0,1,0,0,0,1,1,0,0,Casing a victim or location,0,0,0,1,0,0,0,1,0,Frisked,Actions of engaging in a violent crime,1004062,187211
0,10929,4012012,2129,Brooklyn,Male,Black,18,16 to 19,Frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,2,0,0,0,0,0,0,0,0,0,Force not used,0,0,1,0,0,0,1,1,0,0,Casing a victim or location,0,0,0,1,1,0,0,1,0,Frisked,Actions of engaging in a violent crime,1015183,181789
0,14583,5102012,2053,Brooklyn,Male,White Hispanic,16,16 to 19,Frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,5,5,0,0,0,0,0,0,0,0,0,Force not used,0,0,1,0,0,0,0,1,0,0,Casing a victim or location,0,0,0,1,1,0,0,0,0,Frisked,Actions of engaging in a violent crime,1020902,182309
0,2226,8122012,1406,Manhattan,Male,White Hispanic,16,16 to 19,Frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,3,6,0,0,0,0,0,0,0,0,0,Force not used,0,0,0,0,0,0,1,1,0,0,Furtive movements,0,0,0,1,0,0,0,1,0,Frisked,Actions of engaging in a violent crime,989673,216129
0,1524,2042012,1022,Manhattan,Male,White Hispanic,18,16 to 19,Frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,5,5,0,0,0,0,0,0,0,0,0,Force not used,0,0,0,0,0,0,1,1,0,0,Furtive movements,0,0,0,1,0,0,0,1,0,Frisked,Actions of engaging in a violent crime,997828,240127
0,14811,12082012,2100,Brooklyn,Male,Black,17,16 to 19,Frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,3,5,0,0,0,0,0,0,0,0,0,Force not used,0,0,0,0,0,0,1,1,1,0,Furtive movements,0,0,0,1,0,0,0,1,0,Frisked,Actions of engaging in a violent crime,999566,187346
0,4067,8042012,2145,Bronx,Male,Black,19,16 to 19,Frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,5,2,0,0,0,0,0,0,0,0,0,Force not used,0,0,0,0,0,0,1,0,0,0,Furtive movements,1,0,0,0,0,0,0,0,1,Frisked,Actions of engaging in a violent crime,1020948,255023
0,4665,8312012,550,Queens,Male,Black Hispanic,16,16 to 19,Frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,10,1,0,0,0,0,0,0,0,0,Force used,1,1,0,0,0,0,1,0,0,0,Casing a victim or location,0,0,0,0,0,0,0,1,0,Frisked,Furtive movements,,
